studieprogramkode;studieprogramnavn;arstall_kull;terminkode_kull;arstall_und;terminkode_und;arstall_eks;terminkode_eks;studentnr;karakter;vurdresstatnavn
BFILMPROD;Filmvitenskap og medieproduksjon - bachelorstudium;2009;HØST;2011;VÅR;2011;VÅR;716502;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2006;HØST;2008;VÅR;2008;VÅR;690391;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2006;HØST;2008;VÅR;2008;VÅR;690388;C;Bestått
BIT;Informatikk - bachelorstudium;2007;HØST;2011;VÅR;2011;VÅR;694086;C;Bestått
BIT;Informatikk - bachelorstudium;2007;HØST;2013;VÅR;2013;VÅR;698867;;Ikke møtt
BIT;Informatikk - bachelorstudium;2007;HØST;2008;VÅR;2008;VÅR;691573;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2007;HØST;2010;VÅR;2010;VÅR;698856;;Ikke møtt
BIT;Informatikk - bachelorstudium;2008;HØST;2010;VÅR;2010;VÅR;80249;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2008;HØST;2010;VÅR;2010;VÅR;705365;E;Bestått
BIT;Informatikk - bachelorstudium;2009;HØST;2011;VÅR;2011;VÅR;705383;C;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2013;VÅR;2013;VÅR;721993;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2013;VÅR;2013;VÅR;721978;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2011;VÅR;2011;VÅR;721118;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2010;HØST;2013;VÅR;2013;VÅR;721979;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;713787;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;721883;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;694574;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;715582;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2015;HØST;2008;VÅR;2008;VÅR;698813;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2016;HØST;2017;VÅR;2017;VÅR;674758;C;Bestått
BIT;Informatikk - bachelorstudium;2016;HØST;2014;VÅR;2014;VÅR;705385;;Trekk under eksamen (Avbrutt eksamen)
BMAT;Matematiske fag - bachelorstudium;2009;HØST;2011;VÅR;2011;VÅR;704538;E;Bestått
ITBAINFO;Bachelor i informasjonsbehandling;2015;HØST;2010;VÅR;2010;VÅR;714967;D;Bestått
ITBAINFO;Bachelor i informasjonsbehandling;2015;HØST;2008;VÅR;2008;VÅR;697135;E;Bestått
MTDT;Datateknologi - masterstudium (5-årig);2008;HØST;2008;VÅR;2008;VÅR;697128;A;Bestått
MTDT;Datateknologi - masterstudium (5-årig);2009;HØST;2010;VÅR;2010;VÅR;715606;E;Bestått
MTDT;Datateknologi - masterstudium (5-årig);2010;HØST;2011;VÅR;2011;VÅR;723716;B;Bestått
MTDT;Datateknologi - masterstudium (5-årig);2010;HØST;2010;VÅR;2010;VÅR;715570;F;Ikke bestått
MTDT;Datateknologi - masterstudium (5-årig);2010;HØST;2011;VÅR;2011;VÅR;723693;F;Ikke bestått
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;2011;VÅR;2011;VÅR;715561;B;Bestått
